,images,labels
6556,COVID-19_Radiography_Dataset/normal/Normal-4972.png,0
2799,COVID-19_Radiography_Dataset/normal/Normal-383.png,0
14232,COVID-19_Radiography_Dataset/covid/COVID-3440.png,2
15932,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4906.png,3
12229,COVID-19_Radiography_Dataset/covid/COVID-193.png,2
14177,COVID-19_Radiography_Dataset/covid/COVID-1675.png,2
18289,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4597.png,3
13637,COVID-19_Radiography_Dataset/covid/COVID-3199.png,2
6308,COVID-19_Radiography_Dataset/normal/Normal-4982.png,0
7138,COVID-19_Radiography_Dataset/normal/Normal-2134.png,0
10636,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-308.png,1
6444,COVID-19_Radiography_Dataset/normal/Normal-5559.png,0
18365,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-715.png,3
16468,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-438.png,3
16775,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-2853.png,3
14397,COVID-19_Radiography_Dataset/covid/COVID-639.png,2
5727,COVID-19_Radiography_Dataset/normal/Normal-3162.png,0
9911,COVID-19_Radiography_Dataset/normal/Normal-3810.png,0
4789,COVID-19_Radiography_Dataset/normal/Normal-5638.png,0
8056,COVID-19_Radiography_Dataset/normal/Normal-8930.png,0
12267,COVID-19_Radiography_Dataset/covid/COVID-546.png,2
11089,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-976.png,1
18543,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-3445.png,3
5001,COVID-19_Radiography_Dataset/normal/Normal-5880.png,0
3685,COVID-19_Radiography_Dataset/normal/Normal-9296.png,0
6372,COVID-19_Radiography_Dataset/normal/Normal-2676.png,0
14869,COVID-19_Radiography_Dataset/covid/COVID-2779.png,2
10319,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-772.png,1
10305,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-695.png,1
2541,COVID-19_Radiography_Dataset/normal/Normal-3612.png,0
11070,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-1107.png,1
12948,COVID-19_Radiography_Dataset/covid/COVID-3376.png,2
6623,COVID-19_Radiography_Dataset/normal/Normal-7018.png,0
1682,COVID-19_Radiography_Dataset/normal/Normal-4625.png,0
7048,COVID-19_Radiography_Dataset/normal/Normal-5126.png,0
10506,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-285.png,1
14700,COVID-19_Radiography_Dataset/covid/COVID-1190.png,2
1894,COVID-19_Radiography_Dataset/normal/Normal-6066.png,0
13960,COVID-19_Radiography_Dataset/covid/COVID-830.png,2
12620,COVID-19_Radiography_Dataset/covid/COVID-1727.png,2
5017,COVID-19_Radiography_Dataset/normal/Normal-1070.png,0
3904,COVID-19_Radiography_Dataset/normal/Normal-9483.png,0
2001,COVID-19_Radiography_Dataset/normal/Normal-57.png,0
11858,COVID-19_Radiography_Dataset/covid/COVID-2862.png,2
19198,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-3489.png,3
3105,COVID-19_Radiography_Dataset/normal/Normal-7947.png,0
7918,COVID-19_Radiography_Dataset/normal/Normal-4317.png,0
10741,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-359.png,1
15336,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-2834.png,3
4754,COVID-19_Radiography_Dataset/normal/Normal-2346.png,0
3276,COVID-19_Radiography_Dataset/normal/Normal-2878.png,0
880,COVID-19_Radiography_Dataset/normal/Normal-6030.png,0
6380,COVID-19_Radiography_Dataset/normal/Normal-4695.png,0
7967,COVID-19_Radiography_Dataset/normal/Normal-5306.png,0
15488,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-3488.png,3
3096,COVID-19_Radiography_Dataset/normal/Normal-8760.png,0
3355,COVID-19_Radiography_Dataset/normal/Normal-9686.png,0
11896,COVID-19_Radiography_Dataset/covid/COVID-2574.png,2
19874,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4210.png,3
15960,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-5093.png,3
13548,COVID-19_Radiography_Dataset/covid/COVID-301.png,2
5877,COVID-19_Radiography_Dataset/normal/Normal-4803.png,0
17148,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-3401.png,3
10022,COVID-19_Radiography_Dataset/normal/Normal-9372.png,0
4074,COVID-19_Radiography_Dataset/normal/Normal-6735.png,0
19066,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-247.png,3
4321,COVID-19_Radiography_Dataset/normal/Normal-8948.png,0
19687,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-1899.png,3
13539,COVID-19_Radiography_Dataset/covid/COVID-398.png,2
1091,COVID-19_Radiography_Dataset/normal/Normal-8197.png,0
1183,COVID-19_Radiography_Dataset/normal/Normal-5852.png,0
13725,COVID-19_Radiography_Dataset/covid/COVID-614.png,2
11953,COVID-19_Radiography_Dataset/covid/COVID-2806.png,2
15017,COVID-19_Radiography_Dataset/covid/COVID-481.png,2
12239,COVID-19_Radiography_Dataset/covid/COVID-522.png,2
17060,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-3942.png,3
13238,COVID-19_Radiography_Dataset/covid/COVID-2958.png,2
14153,COVID-19_Radiography_Dataset/covid/COVID-2927.png,2
19465,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-2236.png,3
2736,COVID-19_Radiography_Dataset/normal/Normal-6760.png,0
6903,COVID-19_Radiography_Dataset/normal/Normal-2136.png,0
17687,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-3129.png,3
17662,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-590.png,3
3511,COVID-19_Radiography_Dataset/normal/Normal-9913.png,0
12077,COVID-19_Radiography_Dataset/covid/COVID-104.png,2
14468,COVID-19_Radiography_Dataset/covid/COVID-1606.png,2
11747,COVID-19_Radiography_Dataset/covid/COVID-412.png,2
20207,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-103.png,3
1095,COVID-19_Radiography_Dataset/normal/Normal-2188.png,0
11115,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-715.png,1
16232,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4569.png,3
15952,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-2067.png,3
17274,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-1330.png,3
9931,COVID-19_Radiography_Dataset/normal/Normal-5298.png,0
4574,COVID-19_Radiography_Dataset/normal/Normal-1872.png,0
6941,COVID-19_Radiography_Dataset/normal/Normal-2336.png,0
9848,COVID-19_Radiography_Dataset/normal/Normal-6775.png,0
1743,COVID-19_Radiography_Dataset/normal/Normal-3396.png,0
12083,COVID-19_Radiography_Dataset/covid/COVID-15.png,2
1794,COVID-19_Radiography_Dataset/normal/Normal-901.png,0
16989,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-565.png,3
8780,COVID-19_Radiography_Dataset/normal/Normal-2533.png,0
1244,COVID-19_Radiography_Dataset/normal/Normal-5701.png,0
9513,COVID-19_Radiography_Dataset/normal/Normal-6118.png,0
5100,COVID-19_Radiography_Dataset/normal/Normal-777.png,0
99,COVID-19_Radiography_Dataset/normal/Normal-9331.png,0
8256,COVID-19_Radiography_Dataset/normal/Normal-4704.png,0
15447,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-2420.png,3
4137,COVID-19_Radiography_Dataset/normal/Normal-9202.png,0
20560,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-5729.png,3
16192,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4070.png,3
12058,COVID-19_Radiography_Dataset/covid/COVID-3443.png,2
3856,COVID-19_Radiography_Dataset/normal/Normal-2787.png,0
19285,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-3498.png,3
19636,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-3794.png,3
3626,COVID-19_Radiography_Dataset/normal/Normal-6120.png,0
2636,COVID-19_Radiography_Dataset/normal/Normal-10175.png,0
12759,COVID-19_Radiography_Dataset/covid/COVID-1653.png,2
19855,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-20.png,3
13347,COVID-19_Radiography_Dataset/covid/COVID-2100.png,2
15563,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-1285.png,3
6691,COVID-19_Radiography_Dataset/normal/Normal-1524.png,0
14918,COVID-19_Radiography_Dataset/covid/COVID-2741.png,2
16788,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-59.png,3
10431,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-34.png,1
6845,COVID-19_Radiography_Dataset/normal/Normal-8451.png,0
3044,COVID-19_Radiography_Dataset/normal/Normal-2761.png,0
14647,COVID-19_Radiography_Dataset/covid/COVID-2972.png,2
8720,COVID-19_Radiography_Dataset/normal/Normal-9720.png,0
654,COVID-19_Radiography_Dataset/normal/Normal-10118.png,0
6572,COVID-19_Radiography_Dataset/normal/Normal-7706.png,0
14567,COVID-19_Radiography_Dataset/covid/COVID-872.png,2
18131,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-1784.png,3
9498,COVID-19_Radiography_Dataset/normal/Normal-4396.png,0
9171,COVID-19_Radiography_Dataset/normal/Normal-6822.png,0
3978,COVID-19_Radiography_Dataset/normal/Normal-1868.png,0
4034,COVID-19_Radiography_Dataset/normal/Normal-6799.png,0
7188,COVID-19_Radiography_Dataset/normal/Normal-869.png,0
7633,COVID-19_Radiography_Dataset/normal/Normal-9739.png,0
1389,COVID-19_Radiography_Dataset/normal/Normal-2154.png,0
12804,COVID-19_Radiography_Dataset/covid/COVID-3523.png,2
7990,COVID-19_Radiography_Dataset/normal/Normal-5883.png,0
13033,COVID-19_Radiography_Dataset/covid/COVID-2496.png,2
1889,COVID-19_Radiography_Dataset/normal/Normal-2848.png,0
3714,COVID-19_Radiography_Dataset/normal/Normal-1215.png,0
8049,COVID-19_Radiography_Dataset/normal/Normal-992.png,0
2573,COVID-19_Radiography_Dataset/normal/Normal-4051.png,0
7783,COVID-19_Radiography_Dataset/normal/Normal-4861.png,0
285,COVID-19_Radiography_Dataset/normal/Normal-3908.png,0
16379,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-2376.png,3
3083,COVID-19_Radiography_Dataset/normal/Normal-3077.png,0
9157,COVID-19_Radiography_Dataset/normal/Normal-9074.png,0
5311,COVID-19_Radiography_Dataset/normal/Normal-8287.png,0
18469,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4498.png,3
20635,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-82.png,3
21089,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4255.png,3
3969,COVID-19_Radiography_Dataset/normal/Normal-8607.png,0
18070,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4802.png,3
2082,COVID-19_Radiography_Dataset/normal/Normal-5792.png,0
416,COVID-19_Radiography_Dataset/normal/Normal-9455.png,0
12072,COVID-19_Radiography_Dataset/covid/COVID-521.png,2
14336,COVID-19_Radiography_Dataset/covid/COVID-831.png,2
6534,COVID-19_Radiography_Dataset/normal/Normal-6363.png,0
12067,COVID-19_Radiography_Dataset/covid/COVID-147.png,2
6300,COVID-19_Radiography_Dataset/normal/Normal-335.png,0
7316,COVID-19_Radiography_Dataset/normal/Normal-9386.png,0
4674,COVID-19_Radiography_Dataset/normal/Normal-9374.png,0
15334,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-2404.png,3
1885,COVID-19_Radiography_Dataset/normal/Normal-8127.png,0
2828,COVID-19_Radiography_Dataset/normal/Normal-6562.png,0
14958,COVID-19_Radiography_Dataset/covid/COVID-2159.png,2
10074,COVID-19_Radiography_Dataset/normal/Normal-1832.png,0
15257,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4771.png,3
16213,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4693.png,3
5765,COVID-19_Radiography_Dataset/normal/Normal-995.png,0
17864,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-3681.png,3
20184,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-2603.png,3
5983,COVID-19_Radiography_Dataset/normal/Normal-4703.png,0
14848,COVID-19_Radiography_Dataset/covid/COVID-1137.png,2
10850,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-1172.png,1
7175,COVID-19_Radiography_Dataset/normal/Normal-8308.png,0
6813,COVID-19_Radiography_Dataset/normal/Normal-6294.png,0
16707,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-6012.png,3
11793,COVID-19_Radiography_Dataset/covid/COVID-3532.png,2
15295,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-2178.png,3
19989,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-3867.png,3
19887,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4749.png,3
1317,COVID-19_Radiography_Dataset/normal/Normal-1521.png,0
6375,COVID-19_Radiography_Dataset/normal/Normal-5887.png,0
13705,COVID-19_Radiography_Dataset/covid/COVID-680.png,2
18946,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-1705.png,3
10355,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-684.png,1
12255,COVID-19_Radiography_Dataset/covid/COVID-357.png,2
16926,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-970.png,3
18410,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-2583.png,3
12835,COVID-19_Radiography_Dataset/covid/COVID-2666.png,2
15270,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-1703.png,3
3418,COVID-19_Radiography_Dataset/normal/Normal-5925.png,0
5040,COVID-19_Radiography_Dataset/normal/Normal-8609.png,0
11577,COVID-19_Radiography_Dataset/covid/COVID-419.png,2
9900,COVID-19_Radiography_Dataset/normal/Normal-4594.png,0
6149,COVID-19_Radiography_Dataset/normal/Normal-7359.png,0
11760,COVID-19_Radiography_Dataset/covid/COVID-3260.png,2
3461,COVID-19_Radiography_Dataset/normal/Normal-4484.png,0
9959,COVID-19_Radiography_Dataset/normal/Normal-7912.png,0
19072,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4181.png,3
5542,COVID-19_Radiography_Dataset/normal/Normal-1474.png,0
1780,COVID-19_Radiography_Dataset/normal/Normal-2124.png,0
8579,COVID-19_Radiography_Dataset/normal/Normal-8605.png,0
2471,COVID-19_Radiography_Dataset/normal/Normal-7940.png,0
14185,COVID-19_Radiography_Dataset/covid/COVID-754.png,2
5489,COVID-19_Radiography_Dataset/normal/Normal-3592.png,0
15371,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-2581.png,3
18445,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-2910.png,3
18683,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-2956.png,3
12639,COVID-19_Radiography_Dataset/covid/COVID-2697.png,2
10733,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-1140.png,1
402,COVID-19_Radiography_Dataset/normal/Normal-1613.png,0
13224,COVID-19_Radiography_Dataset/covid/COVID-2637.png,2
4989,COVID-19_Radiography_Dataset/normal/Normal-6595.png,0
5277,COVID-19_Radiography_Dataset/normal/Normal-6843.png,0
19178,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-986.png,3
12181,COVID-19_Radiography_Dataset/covid/COVID-2235.png,2
17963,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-5511.png,3
13198,COVID-19_Radiography_Dataset/covid/COVID-2634.png,2
10229,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-672.png,1
10510,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-727.png,1
6243,COVID-19_Radiography_Dataset/normal/Normal-8735.png,0
2774,COVID-19_Radiography_Dataset/normal/Normal-5758.png,0
5613,COVID-19_Radiography_Dataset/normal/Normal-5651.png,0
1027,COVID-19_Radiography_Dataset/normal/Normal-6990.png,0
16296,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-1626.png,3
14861,COVID-19_Radiography_Dataset/covid/COVID-1213.png,2
18535,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-625.png,3
2026,COVID-19_Radiography_Dataset/normal/Normal-9115.png,0
4071,COVID-19_Radiography_Dataset/normal/Normal-2601.png,0
16781,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-5192.png,3
10249,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-326.png,1
14070,COVID-19_Radiography_Dataset/covid/COVID-98.png,2
14155,COVID-19_Radiography_Dataset/covid/COVID-1796.png,2
6642,COVID-19_Radiography_Dataset/normal/Normal-9982.png,0
11184,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-53.png,1
15422,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-369.png,3
14331,COVID-19_Radiography_Dataset/covid/COVID-2553.png,2
12018,COVID-19_Radiography_Dataset/covid/COVID-2538.png,2
11815,COVID-19_Radiography_Dataset/covid/COVID-1679.png,2
18679,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4042.png,3
14334,COVID-19_Radiography_Dataset/covid/COVID-2837.png,2
20477,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4452.png,3
12698,COVID-19_Radiography_Dataset/covid/COVID-2187.png,2
1669,COVID-19_Radiography_Dataset/normal/Normal-8531.png,0
15180,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4244.png,3
10982,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-1308.png,1
19289,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-5462.png,3
17949,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-484.png,3
12395,COVID-19_Radiography_Dataset/covid/COVID-926.png,2
3708,COVID-19_Radiography_Dataset/normal/Normal-6604.png,0
4468,COVID-19_Radiography_Dataset/normal/Normal-7442.png,0
20264,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-1464.png,3
20078,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-1548.png,3
15179,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-3281.png,3
15080,COVID-19_Radiography_Dataset/covid/COVID-561.png,2
2674,COVID-19_Radiography_Dataset/normal/Normal-909.png,0
7812,COVID-19_Radiography_Dataset/normal/Normal-564.png,0
4843,COVID-19_Radiography_Dataset/normal/Normal-3286.png,0
11266,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-742.png,1
17833,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-1019.png,3
974,COVID-19_Radiography_Dataset/normal/Normal-6553.png,0
15333,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-2357.png,3
8455,COVID-19_Radiography_Dataset/normal/Normal-1498.png,0
6146,COVID-19_Radiography_Dataset/normal/Normal-2467.png,0
15304,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4510.png,3
12296,COVID-19_Radiography_Dataset/covid/COVID-2484.png,2
17551,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-1051.png,3
15508,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-5547.png,3
12744,COVID-19_Radiography_Dataset/covid/COVID-2459.png,2
4803,COVID-19_Radiography_Dataset/normal/Normal-8643.png,0
16534,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-48.png,3
736,COVID-19_Radiography_Dataset/normal/Normal-9284.png,0
17557,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4657.png,3
18569,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-74.png,3
19199,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-217.png,3
2175,COVID-19_Radiography_Dataset/normal/Normal-146.png,0
9668,COVID-19_Radiography_Dataset/normal/Normal-5317.png,0
2985,COVID-19_Radiography_Dataset/normal/Normal-7647.png,0
19711,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-104.png,3
14260,COVID-19_Radiography_Dataset/covid/COVID-2074.png,2
7871,COVID-19_Radiography_Dataset/normal/Normal-2999.png,0
16378,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4445.png,3
1233,COVID-19_Radiography_Dataset/normal/Normal-5820.png,0
18643,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-5520.png,3
3160,COVID-19_Radiography_Dataset/normal/Normal-9275.png,0
5266,COVID-19_Radiography_Dataset/normal/Normal-3224.png,0
14338,COVID-19_Radiography_Dataset/covid/COVID-2313.png,2
12126,COVID-19_Radiography_Dataset/covid/COVID-1684.png,2
11179,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-807.png,1
5422,COVID-19_Radiography_Dataset/normal/Normal-9737.png,0
9278,COVID-19_Radiography_Dataset/normal/Normal-3255.png,0
20711,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4634.png,3
19613,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4994.png,3
16769,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-1338.png,3
8328,COVID-19_Radiography_Dataset/normal/Normal-7592.png,0
19888,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-2497.png,3
14246,COVID-19_Radiography_Dataset/covid/COVID-2233.png,2
16042,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-629.png,3
10064,COVID-19_Radiography_Dataset/normal/Normal-850.png,0
12502,COVID-19_Radiography_Dataset/covid/COVID-720.png,2
15253,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-3554.png,3
9028,COVID-19_Radiography_Dataset/normal/Normal-4965.png,0
17038,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-1454.png,3
15775,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-422.png,3
2979,COVID-19_Radiography_Dataset/normal/Normal-8519.png,0
5588,COVID-19_Radiography_Dataset/normal/Normal-8290.png,0
8996,COVID-19_Radiography_Dataset/normal/Normal-2256.png,0
14090,COVID-19_Radiography_Dataset/covid/COVID-2086.png,2
16060,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4742.png,3
1272,COVID-19_Radiography_Dataset/normal/Normal-8256.png,0
18294,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-585.png,3
17611,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-3540.png,3
5394,COVID-19_Radiography_Dataset/normal/Normal-8002.png,0
19517,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-3056.png,3
14693,COVID-19_Radiography_Dataset/covid/COVID-2651.png,2
6896,COVID-19_Radiography_Dataset/normal/Normal-3639.png,0
14309,COVID-19_Radiography_Dataset/covid/COVID-632.png,2
1097,COVID-19_Radiography_Dataset/normal/Normal-3227.png,0
1047,COVID-19_Radiography_Dataset/normal/Normal-7965.png,0
7098,COVID-19_Radiography_Dataset/normal/Normal-1383.png,0
15612,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4043.png,3
9383,COVID-19_Radiography_Dataset/normal/Normal-9154.png,0
1881,COVID-19_Radiography_Dataset/normal/Normal-5743.png,0
16403,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-3743.png,3
17937,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-5066.png,3
9586,COVID-19_Radiography_Dataset/normal/Normal-7113.png,0
